
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000172                       # Number of seconds simulated (Second)
simTicks                                    171659000                       # Number of ticks simulated (Tick)
finalTick                                   171659000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.06                       # Real time elapsed on the host (Second)
hostTickRate                                162183586                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     676980                       # Number of bytes of host memory used (Byte)
simInsts                                       109182                       # Number of instructions simulated (Count)
simOps                                         200393                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   103136                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     189291                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           343319                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.144465                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.318019                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          303735                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       83                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         267862                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    478                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               103419                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            209749                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  23                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              254366                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.053057                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.977365                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    179959     70.75%     70.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     14413      5.67%     76.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     12602      4.95%     81.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     12526      4.92%     86.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     10046      3.95%     90.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      9252      3.64%     93.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      7753      3.05%     96.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      4815      1.89%     98.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3000      1.18%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                254366                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    2878     67.35%     67.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     67.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     67.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     67.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     67.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     67.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     67.35% # attempts to use FU when none available (Count)
