
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000480                       # Number of seconds simulated (Second)
simTicks                                    479704000                       # Number of ticks simulated (Tick)
finalTick                                   479704000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.43                       # Real time elapsed on the host (Second)
hostTickRate                                 38597167                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1875796                       # Number of bytes of host memory used (Byte)
simInsts                                      1758256                       # Number of instructions simulated (Count)
simOps                                        3228176                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   141469                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259739                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          954244                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              8.683550                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.115160                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         310020                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                      92                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        275236                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   611                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              108351                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           217240                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                 32                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             656920                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.418979                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.337996                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   578342     88.04%     88.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    16688      2.54%     90.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    13541      2.06%     92.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    12728      1.94%     94.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    10758      1.64%     96.22% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                     9489      1.44%     97.66% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                     7734      1.18%     98.84% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     4719      0.72%     99.56% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     2921      0.44%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               656920                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   2890     60.70%     60.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     60.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     60.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     60.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     60.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     60.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     60.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     60.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     60.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     60.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     60.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     2      0.04%     60.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     60.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                    15      0.32%     61.06% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     61.06% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                    29      0.61%     61.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    6      0.13%     61.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     61.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     61.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     61.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                  16      0.34%     62.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     62.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     62.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     62.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     62.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     62.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     62.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     62.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     62.13% # attempts to use FU when none available (Count)
